marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,1,939,189,452,508,556
0,2,853,187,504,485,581
0,3,937,191,483,528,588
0,1,941,192,454,508,556
0,2,855,186,504,487,578
0,3,939,193,478,530,586
0,1,938,191,456,511,558
0,2,850,186,503,490,574
0,3,939,193,482,525,586
0,1,936,188,452,507,556
0,2,853,182,502,484,578
0,3,936,193,483,524,584
0,1,941,191,455,510,552
0,2,853,184,501,487,580
0,3,934,191,482,529,587
0,1,943,188,457,509,556
0,2,852,186,501,485,578
0,3,938,194,482,524,588
0,1,939,185,455,506,554
0,2,853,189,504,485,579
0,3,940,192,483,526,586
0,1,940,185,455,512,552
0,2,852,181,503,491,576
0,3,935,194,481,527,583
0,1,941,186,454,509,554
0,2,855,183,504,487,581
0,3,936,194,484,527,585
0,1,941,192,456,505,557
0,2,855,187,501,486,581
0,3,939,193,483,524,587
0,1,944,185,453,510,555
0,2,853,184,504,483,577
0,3,936,193,486,524,587
0,1,941,192,457,510,554
0,2,852,182,506,486,582
0,3,934,189,487,523,590
0,1,940,188,455,508,554
0,2,853,186,505,486,583
0,3,937,191,484,524,588
0,1,939,188,454,509,552
0,2,851,182,503,487,577
0,3,938,191,481,526,586
0,1,936,186,450,508,557
0,2,852,184,503,490,582
0,3,938,192,482,528,583
0,1,938,184,456,505,557
0,2,856,185,501,485,580
0,3,938,194,486,526,588
0,1,937,184,453,507,561
0,2,854,182,506,487,578
0,3,940,194,482,527,587
0,1,940,189,454,505,559
0,2,859,182,503,486,579
0,3,938,193,483,526,585
0,1,940,193,453,510,563
0,2,854,183,500,483,579
0,3,936,192,485,524,587
0,1,936,188,461,509,555
0,2,854,187,502,489,581
0,3,938,193,481,526,588
0,1,938,189,456,512,565
0,2,853,183,503,487,579
0,3,939,195,477,527,586
0,1,939,190,454,514,561
0,2,853,185,504,483,575
0,3,938,191,482,525,588
0,1,939,188,453,509,554
0,2,852,186,506,487,581
0,3,940,193,482,530,582
0,1,938,189,458,507,560
0,2,853,183,502,485,575
0,3,937,193,483,528,585
0,1,937,190,459,507,559
0,2,855,187,503,486,574
0,3,932,189,483,531,588
0,1,938,191,452,507,557
0,2,855,182,503,488,580
0,3,934,194,483,527,589
0,1,941,193,453,506,556
0,2,854,184,506,482,579
0,3,939,192,482,526,585
0,1,940,189,454,505,550
0,2,854,184,505,492,584
0,3,942,194,485,530,587
0,1,938,189,459,509,553
0,2,856,189,502,491,577
0,3,939,191,485,528,588
0,1,938,450,507,560,
0,2,852,502,489,575,
0,3,937,481,528,583,
0,1,936,191,454,511,562
0,2,853,187,507,488,576
0,3,939,192,484,528,589
0,1,939,195,458,508,562
0,2,850,188,506,482,577
0,3,932,192,484,531,588
0,1,936,187,460,506,560
0,2,851,181,502,483,588
0,3,939,189,481,531,583
0,1,941,184,456,510,559
0,2,856,186,503,484,575
0,3,940,190,478,524,587
0,1,939,193,452,507,554
0,2,851,184,502,483,583
0,3,939,189,482,522,587
0,1,939,192,455,506,549
0,2,850,186,504,487,584
0,3,934,188,483,530,590
0,1,942,185,456,508,561
0,2,852,188,506,484,579
0,3,934,189,484,528,585
0,1,943,188,459,509,553
0,2,853,190,505,484,582
0,3,935,188,481,529,588
0,1,940,193,454,506,556
0,2,854,184,502,489,580
0,3,935,188,484,527,588
0,1,940,191,454,507,550
0,2,858,185,502,491,582
0,3,932,193,481,526,585
0,1,940,190,456,506,553
0,2,854,191,506,482,579
0,3,935,194,482,523,587
