,position,anchor_1,anchor_2,anchor_3,anchor_4,anchor_5,tag
472,1,925.0,186.0,456.0,522.0,575.0,2
473,1,937.0,187.0,489.0,500.0,575.0,3
474,1,924.0,189.0,478.0,529.0,639.0,1
475,1,924.0,182.0,459.0,524.0,584.0,2
476,1,936.0,189.0,491.0,502.0,574.0,3
477,1,923.0,191.0,484.0,523.0,629.0,1
478,1,922.0,188.0,459.0,522.0,578.0,2
479,1,933.0,190.0,488.0,503.0,579.0,3
480,1,922.0,189.0,479.0,535.0,640.0,1
481,1,920.0,185.0,459.0,522.0,580.0,2
482,1,937.0,189.0,487.0,498.0,574.0,3
483,1,924.0,199.0,478.0,523.0,639.0,1
484,1,922.0,185.0,458.0,520.0,579.0,2
485,1,936.0,185.0,487.0,499.0,575.0,3
486,1,923.0,190.0,475.0,528.0,638.0,1
487,1,923.0,184.0,458.0,524.0,583.0,2
488,1,934.0,183.0,494.0,501.0,576.0,3
489,1,920.0,188.0,480.0,531.0,640.0,1
490,1,923.0,185.0,459.0,524.0,580.0,2
491,1,934.0,185.0,491.0,501.0,572.0,3
492,1,918.0,191.0,479.0,533.0,643.0,1
493,1,926.0,184.0,459.0,527.0,579.0,2
494,1,934.0,186.0,489.0,501.0,575.0,3
495,1,921.0,195.0,482.0,531.0,636.0,1
496,1,924.0,185.0,457.0,523.0,582.0,2
497,1,934.0,184.0,488.0,503.0,577.0,3
498,1,918.0,190.0,487.0,531.0,639.0,1
499,1,922.0,185.0,457.0,522.0,582.0,2
500,1,936.0,183.0,492.0,501.0,575.0,3
501,1,923.0,196.0,480.0,524.0,642.0,1
502,1,917.0,186.0,458.0,521.0,576.0,2
503,1,937.0,185.0,490.0,500.0,576.0,3
504,1,921.0,189.0,479.0,529.0,640.0,1
505,1,918.0,190.0,461.0,526.0,579.0,2
506,1,936.0,185.0,489.0,503.0,578.0,3
507,1,919.0,187.0,473.0,527.0,635.0,1
508,1,919.0,187.0,461.0,525.0,580.0,2
509,1,937.0,188.0,490.0,503.0,573.0,3
510,1,919.0,191.0,476.0,526.0,641.0,1
511,1,924.0,186.0,459.0,526.0,581.0,2
512,1,935.0,185.0,490.0,501.0,575.0,3
513,1,922.0,190.0,473.0,526.0,633.0,1
514,1,921.0,190.0,456.0,522.0,577.0,2
515,1,939.0,190.0,491.0,504.0,579.0,3
516,1,918.0,192.0,477.0,528.0,637.0,1
517,1,920.0,188.0,457.0,525.0,577.0,2
518,1,940.0,189.0,492.0,504.0,574.0,3
519,1,922.0,194.0,477.0,539.0,639.0,1
520,1,918.0,186.0,457.0,525.0,575.0,2
521,1,939.0,185.0,488.0,501.0,573.0,3
522,1,922.0,188.0,472.0,530.0,637.0,1
523,1,920.0,184.0,458.0,527.0,578.0,2
524,1,936.0,186.0,488.0,501.0,576.0,3
525,1,922.0,192.0,477.0,525.0,641.0,1
526,1,922.0,189.0,461.0,522.0,578.0,2
527,1,936.0,190.0,489.0,501.0,581.0,3
528,1,921.0,188.0,476.0,527.0,640.0,1
529,1,924.0,188.0,459.0,520.0,576.0,2
530,1,937.0,190.0,490.0,499.0,578.0,3
531,1,923.0,190.0,483.0,527.0,643.0,1
532,1,925.0,188.0,461.0,520.0,577.0,2
533,1,937.0,184.0,489.0,501.0,575.0,3
534,1,924.0,193.0,480.0,532.0,637.0,1
535,1,923.0,189.0,458.0,523.0,581.0,2
536,1,939.0,183.0,491.0,504.0,573.0,3
537,1,919.0,199.0,481.0,525.0,638.0,1
538,1,918.0,185.0,458.0,522.0,576.0,2
539,1,939.0,183.0,488.0,500.0,579.0,3
540,1,920.0,189.0,480.0,529.0,643.0,1
541,1,919.0,185.0,457.0,520.0,580.0,2
542,1,938.0,186.0,487.0,504.0,582.0,3
543,1,923.0,187.0,482.0,531.0,638.0,1
544,1,922.0,186.0,458.0,523.0,575.0,2
545,1,938.0,185.0,490.0,501.0,571.0,3
546,1,918.0,193.0,483.0,525.0,643.0,1
547,1,922.0,185.0,459.0,521.0,578.0,2
548,1,934.0,184.0,490.0,501.0,575.0,3
549,1,922.0,189.0,481.0,530.0,636.0,1
550,1,920.0,186.0,460.0,526.0,578.0,2
551,1,938.0,186.0,491.0,505.0,576.0,3
552,1,921.0,189.0,478.0,528.0,637.0,1
553,1,918.0,188.0,460.0,523.0,577.0,2
554,1,938.0,187.0,491.0,504.0,578.0,3
555,1,921.0,189.0,480.0,531.0,637.0,1
556,1,918.0,186.0,457.0,522.0,577.0,2
557,1,937.0,185.0,490.0,501.0,581.0,3
558,1,920.0,199.0,477.0,522.0,640.0,1
559,1,922.0,188.0,457.0,522.0,574.0,2
560,1,937.0,183.0,488.0,503.0,575.0,3
561,1,918.0,189.0,477.0,527.0,639.0,1
562,1,924.0,188.0,457.0,523.0,575.0,2
563,1,934.0,187.0,491.0,498.0,576.0,3
564,1,922.0,190.0,489.0,530.0,636.0,1
565,1,921.0,186.0,458.0,525.0,578.0,2
566,1,938.0,187.0,490.0,504.0,574.0,3
567,1,922.0,188.0,481.0,530.0,640.0,1
568,1,921.0,185.0,459.0,523.0,573.0,2
569,1,935.0,186.0,488.0,502.0,577.0,3
570,1,921.0,196.0,485.0,522.0,644.0,1
571,1,920.0,188.0,459.0,522.0,577.0,2
572,1,937.0,189.0,491.0,502.0,580.0,3
573,1,921.0,193.0,480.0,526.0,633.0,1
574,1,924.0,186.0,460.0,525.0,584.0,2
575,1,935.0,185.0,490.0,500.0,576.0,3
576,1,919.0,189.0,479.0,527.0,640.0,1
577,1,918.0,186.0,458.0,529.0,575.0,2
578,1,934.0,185.0,488.0,500.0,574.0,3
579,1,923.0,193.0,478.0,529.0,639.0,1
580,1,920.0,186.0,458.0,527.0,578.0,2
581,1,937.0,185.0,491.0,503.0,575.0,3
582,1,921.0,195.0,479.0,529.0,636.0,1
583,1,922.0,185.0,459.0,524.0,581.0,2
584,1,936.0,187.0,489.0,496.0,577.0,3
585,1,919.0,191.0,480.0,522.0,638.0,1
586,1,925.0,186.0,459.0,519.0,577.0,2
587,1,935.0,189.0,491.0,503.0,575.0,3
588,1,919.0,191.0,481.0,525.0,637.0,1
589,1,922.0,189.0,458.0,522.0,577.0,2
590,1,936.0,186.0,492.0,501.0,572.0,3
591,1,920.0,192.0,482.0,527.0,638.0,1
592,1,918.0,189.0,459.0,527.0,579.0,2
593,1,940.0,189.0,487.0,505.0,574.0,3
594,1,923.0,191.0,482.0,524.0,637.0,1
595,1,921.0,188.0,459.0,523.0,577.0,2
596,1,938.0,185.0,491.0,499.0,574.0,3
597,1,920.0,189.0,476.0,528.0,641.0,1
598,1,924.0,186.0,459.0,521.0,581.0,2
599,1,937.0,184.0,491.0,501.0,574.0,3
600,1,923.0,191.0,477.0,536.0,640.0,1
601,1,920.0,186.0,458.0,527.0,581.0,2
602,1,939.0,187.0,490.0,500.0,577.0,3
603,1,921.0,192.0,484.0,528.0,639.0,1
604,1,917.0,186.0,457.0,526.0,581.0,2
605,1,939.0,184.0,490.0,501.0,575.0,3
606,1,922.0,192.0,485.0,530.0,641.0,1
607,1,920.0,186.0,459.0,525.0,577.0,2
608,1,937.0,187.0,488.0,506.0,577.0,3
609,1,921.0,189.0,485.0,529.0,637.0,1
610,1,924.0,188.0,457.0,523.0,577.0,2
611,1,939.0,188.0,488.0,500.0,573.0,3
612,1,921.0,191.0,480.0,528.0,638.0,1
613,1,923.0,186.0,460.0,524.0,580.0,2
614,1,940.0,191.0,492.0,503.0,570.0,3
615,1,923.0,197.0,478.0,524.0,639.0,1
616,1,920.0,186.0,460.0,522.0,582.0,2
617,1,938.0,186.0,488.0,499.0,572.0,3
618,1,921.0,188.0,481.0,530.0,639.0,1
619,1,922.0,187.0,458.0,523.0,579.0,2
620,1,935.0,188.0,491.0,502.0,574.0,3
621,1,921.0,191.0,466.0,523.0,636.0,1
622,1,925.0,187.0,457.0,527.0,579.0,2
623,1,938.0,189.0,491.0,502.0,574.0,3
624,1,919.0,190.0,473.0,522.0,642.0,1
625,1,919.0,187.0,457.0,525.0,583.0,2
626,1,940.0,189.0,492.0,503.0,571.0,3
627,1,919.0,190.0,482.0,527.0,643.0,1
628,1,921.0,190.0,458.0,526.0,580.0,2
629,1,939.0,187.0,492.0,502.0,577.0,3
630,1,922.0,193.0,483.0,527.0,644.0,1
631,1,924.0,184.0,461.0,522.0,585.0,2
632,1,940.0,186.0,490.0,502.0,577.0,3
633,1,921.0,193.0,479.0,530.0,640.0,1
634,1,920.0,186.0,461.0,522.0,577.0,2
635,1,938.0,188.0,492.0,501.0,575.0,3
636,1,921.0,193.0,477.0,528.0,637.0,1
637,1,921.0,186.0,459.0,523.0,580.0,2
638,1,939.0,190.0,492.0,504.0,576.0,3
639,1,923.0,186.0,486.0,525.0,638.0,1
640,1,919.0,185.0,455.0,522.0,577.0,2
641,1,937.0,187.0,490.0,500.0,579.0,3
642,1,921.0,190.0,485.0,522.0,641.0,1
643,1,922.0,186.0,459.0,524.0,579.0,2
644,1,939.0,187.0,492.0,501.0,575.0,3
645,1,922.0,189.0,481.0,528.0,634.0,1
646,1,921.0,186.0,460.0,527.0,578.0,2
647,1,936.0,184.0,491.0,500.0,575.0,3
648,1,922.0,188.0,476.0,529.0,635.0,1
649,1,921.0,186.0,459.0,522.0,581.0,2
650,1,935.0,184.0,489.0,503.0,574.0,3
651,1,921.0,191.0,471.0,526.0,641.0,1
652,1,924.0,186.0,459.0,524.0,577.0,2
653,1,935.0,189.0,491.0,501.0,576.0,3
654,1,921.0,190.0,482.0,530.0,640.0,1
655,1,923.0,184.0,456.0,525.0,576.0,2
656,1,936.0,186.0,489.0,500.0,574.0,3
657,1,919.0,193.0,480.0,524.0,641.0,1
658,1,920.0,188.0,456.0,527.0,578.0,2
659,1,938.0,184.0,490.0,503.0,577.0,3
660,1,917.0,192.0,484.0,531.0,640.0,1
661,1,923.0,185.0,458.0,521.0,576.0,2
662,1,934.0,188.0,490.0,499.0,574.0,3
