marker,time,tag,x,y,z,anchors,a_1311,a_1592,a_2713,a_8006,a_18178
0,2020-10-16 18:33:37.857941,2,736,1655,0,5,921,187,458,524,575
0,2020-10-16 18:33:37.857941,3,783,1637,0,5,937,192,491,500,583
0,2020-10-16 18:33:37.920842,1,745,1612,0,5,921,190,475,526,635
0,2020-10-16 18:33:37.920842,2,736,1655,0,5,919,187,459,521,581
0,2020-10-16 18:33:37.920842,3,784,1639,0,5,934,187,490,500,577
0,2020-10-16 18:33:37.962071,1,747,1611,0,5,924,195,478,534,637
0,2020-10-16 18:33:37.962071,2,736,1655,0,5,923,186,461,519,581
0,2020-10-16 18:33:37.962071,3,785,1642,0,5,937,188,491,501,569
0,2020-10-16 18:33:37.997013,1,747,1611,0,5,919,194,485,526,639
0,2020-10-16 18:33:37.997013,2,735,1655,0,5,924,186,461,522,581
0,2020-10-16 18:33:37.997013,3,787,1643,0,5,937,189,489,501,573
0,2020-10-16 18:33:38.057546,1,747,1611,0,5,922,200,485,522,639
0,2020-10-16 18:33:38.057546,2,735,1655,0,5,924,187,460,525,579
0,2020-10-16 18:33:38.057546,3,787,1645,0,5,935,186,490,501,578
0,2020-10-16 18:33:38.075500,1,747,1611,0,5,921,193,475,530,638
0,2020-10-16 18:33:38.075500,2,735,1655,0,5,923,184,457,522,578
0,2020-10-16 18:33:38.075500,3,781,1635,0,5,940,189,488,499,578
0,2020-10-16 18:33:38.119189,1,746,1611,0,5,922,192,477,531,641
0,2020-10-16 18:33:38.119189,2,738,1655,0,5,920,186,458,527,581
0,2020-10-16 18:33:38.119189,3,783,1638,0,5,936,186,491,500,578
0,2020-10-16 18:33:38.181448,1,746,1611,0,5,920,189,472,527,637
0,2020-10-16 18:33:38.181448,2,738,1654,0,5,920,186,458,522,577
0,2020-10-16 18:33:38.181448,3,784,1641,0,5,938,191,488,503,574
0,2020-10-16 18:33:38.229581,1,746,1610,0,5,922,192,475,523,637
0,2020-10-16 18:33:38.229581,2,737,1655,0,5,918,184,456,522,580
0,2020-10-16 18:33:38.229581,3,777,1632,0,5,938,186,490,502,570
0,2020-10-16 18:33:38.261497,1,746,1611,0,5,921,192,478,528,641
0,2020-10-16 18:33:38.261497,2,737,1654,0,5,919,185,459,522,577
0,2020-10-16 18:33:38.261497,3,779,1635,0,5,938,187,490,502,578
0,2020-10-16 18:33:38.296402,1,745,1611,0,5,922,194,482,522,638
0,2020-10-16 18:33:38.296402,2,737,1655,0,5,918,185,459,527,575
0,2020-10-16 18:33:38.296402,3,782,1639,0,5,934,187,491,504,580
0,2020-10-16 18:33:38.352252,1,746,1611,0,5,922,193,477,532,636
0,2020-10-16 18:33:38.352252,2,737,1655,0,5,921,188,459,523,576
0,2020-10-16 18:33:38.352252,3,784,1641,0,5,936,187,490,503,576
0,2020-10-16 18:33:38.413089,1,746,1611,0,5,921,194,487,542,635
0,2020-10-16 18:33:38.413089,2,736,1654,0,5,923,184,457,527,577
0,2020-10-16 18:33:38.413089,3,786,1642,0,5,939,189,489,501,574
0,2020-10-16 18:33:38.472929,1,746,1611,0,5,922,198,487,525,639
0,2020-10-16 18:33:38.472929,2,736,1655,0,5,921,187,457,523,578
0,2020-10-16 18:33:38.472929,3,787,1643,0,5,939,185,491,504,578
0,2020-10-16 18:33:38.504808,1,746,1611,0,5,922,193,483,523,641
0,2020-10-16 18:33:38.504808,2,735,1654,0,5,921,188,455,522,576
0,2020-10-16 18:33:38.504808,3,787,1645,0,5,939,184,491,499,577
0,2020-10-16 18:33:38.535176,1,745,1611,0,5,920,190,480,532,642
0,2020-10-16 18:33:38.535176,2,735,1654,0,5,920,185,458,525,583
0,2020-10-16 18:33:38.535176,3,788,1645,0,5,938,189,492,502,575
0,2020-10-16 18:33:38.568813,1,745,1611,0,5,921,190,482,526,644
0,2020-10-16 18:33:38.568813,2,735,1655,0,5,923,187,457,526,581
0,2020-10-16 18:33:38.568813,3,789,1647,0,5,939,186,490,501,568
0,2020-10-16 18:33:38.642428,1,746,1611,0,5,919,192,486,526,639
0,2020-10-16 18:33:38.642428,2,736,1655,0,5,921,186,457,527,575
0,2020-10-16 18:33:38.642428,3,789,1648,0,5,936,186,490,501,573
0,2020-10-16 18:33:38.674576,1,746,1611,0,5,923,192,480,528,641
0,2020-10-16 18:33:38.674576,2,736,1656,0,5,925,184,459,522,576
0,2020-10-16 18:33:38.674576,3,789,1650,0,5,937,183,490,500,580
0,2020-10-16 18:33:38.708014,1,746,1611,0,5,922,193,484,530,640
0,2020-10-16 18:33:38.708014,2,736,1656,0,5,924,185,457,523,575
0,2020-10-16 18:33:38.708014,3,790,1650,0,5,939,185,487,503,579
0,2020-10-16 18:33:38.763196,1,746,1611,0,5,921,192,480,526,636
0,2020-10-16 18:33:38.763196,2,736,1656,0,5,923,184,459,520,579
0,2020-10-16 18:33:38.763196,3,790,1650,0,5,937,186,492,501,572
0,2020-10-16 18:33:38.797216,1,746,1611,0,5,921,186,473,527,638
0,2020-10-16 18:33:38.797216,2,736,1656,0,5,922,188,460,523,577
0,2020-10-16 18:33:38.797216,3,791,1650,0,5,936,187,491,499,580
0,2020-10-16 18:33:38.828680,1,745,1611,0,5,922,192,470,529,640
0,2020-10-16 18:33:38.828680,2,736,1655,0,5,922,186,458,523,579
0,2020-10-16 18:33:38.828680,3,791,1651,0,5,939,186,492,499,575
0,2020-10-16 18:33:38.860594,1,746,1611,0,5,921,195,472,523,636
0,2020-10-16 18:33:38.860594,2,736,1655,0,5,922,189,458,527,581
0,2020-10-16 18:33:38.860594,3,791,1652,0,5,936,190,490,504,569
0,2020-10-16 18:33:38.892508,1,749,1610,0,5,918,190,479,525,636
0,2020-10-16 18:33:38.892508,2,735,1655,0,5,923,186,457,528,578
0,2020-10-16 18:33:38.892508,3,791,1652,0,5,934,183,492,500,583
0,2020-10-16 18:33:38.955341,1,748,1610,0,5,920,191,476,528,641
0,2020-10-16 18:33:38.955341,2,735,1655,0,5,920,186,459,521,580
0,2020-10-16 18:33:38.955341,3,792,1652,0,5,935,188,490,502,578
0,2020-10-16 18:33:39.047715,1,747,1610,0,5,924,195,471,526,638
0,2020-10-16 18:33:39.047715,2,735,1655,0,5,923,185,459,524,581
0,2020-10-16 18:33:39.047715,3,792,1652,0,5,937,187,490,503,574
0,2020-10-16 18:33:39.065673,1,747,1611,0,5,922,191,478,526,638
0,2020-10-16 18:33:39.065673,2,735,1655,0,5,922,185,458,522,577
0,2020-10-16 18:33:39.065673,3,792,1652,0,5,937,187,487,499,576
0,2020-10-16 18:33:39.097619,1,747,1611,0,5,921,196,477,530,639
0,2020-10-16 18:33:39.097619,2,736,1655,0,5,921,186,460,528,583
0,2020-10-16 18:33:39.097619,3,792,1653,0,5,940,188,488,502,582
0,2020-10-16 18:33:39.138774,1,747,1611,0,5,921,187,477,522,641
0,2020-10-16 18:33:39.138774,2,736,1656,0,5,922,186,459,525,576
0,2020-10-16 18:33:39.138774,3,792,1652,0,5,942,189,488,504,575
0,2020-10-16 18:33:39.203630,1,747,1610,0,5,921,190,481,529,639
0,2020-10-16 18:33:39.203630,2,740,1657,0,5,922,185,457,522,584
0,2020-10-16 18:33:39.203630,3,791,1652,0,5,940,187,489,502,583
0,2020-10-16 18:33:39.238506,1,746,1611,0,5,921,191,485,530,641
0,2020-10-16 18:33:39.238506,2,739,1657,0,5,920,185,459,522,576
0,2020-10-16 18:33:39.238506,3,791,1652,0,5,938,189,491,504,576
0,2020-10-16 18:33:39.276403,1,746,1611,0,5,918,189,474,531,640
0,2020-10-16 18:33:39.276403,2,738,1657,0,5,918,190,460,526,580
0,2020-10-16 18:33:39.276403,3,791,1652,0,5,939,186,491,503,575
